,isim,baslangicT,bitisTarih,sezonSayisi,sezonDurumu,tur,konuPuan,aktorS,OyuncuKadroPuan,imdb
595,Benim Hala Umudum Var,2013,2014,2,,Romance,16.0,"Gizem Karaca,Sükrü Özyildiz,Berk Oktay,Burak Altay",,7.5
596,Fatih Portakal ile FOX Ana Haber,2013,2018,6,,News,15.0,Fatih Portakal,,9.1
597,Görüs Günü Kadinlari,2013,2013,1,,Drama,18.0,"Senay Gürler,Nesrin Cavadzade,Yildiz Çagri Atiksoy,Semra Dinçer",,7.8
598,Cinayet,2014,2018,5,,Crime,15.666666666666666,"Nihan Asici,Yigit Mergen,Nurgül Yesilçay,Engin Altan Düzyatan",,4.7
599,Kurt Seyit ve Sura,2014,2014,1,,Drama,14.0,"Kivanç Tatlitug,Farah Zeynep Abdullah,Caglar Ertugrul,Demet Özdemir",,6.7
600,Kara Para Ask,2014,2015,2,,Action,16.333333333333332,"Engin Akyürek,Tuba Büyüküstün,Erkan Can,Damla Colbay",,6.7
601,Kizilelma,2014,2018,5,,Action,16.0,"Faruk Acar,Pelin Akil,Vugar Aliyev,Selin Altay",,6.6
602,Extreme-G: Skydiving,2014,2018,5,,Action,16.0,"Hayko Cepkin,Sahin Sahin,Meric Alural,Beslan Babaoglu",,7.7
603,O Hayat Benim,2014,2018,5,,Drama,18.0,"Ezgi Asaroglu,Keremcem,Ceren Moray,Bahar Sahin",,5.0
604,Yasak,2014,2018,5,,Drama,17.0,"Mehmet Esen,Ezgi Eyüboglu,Biran Damla Yilmaz,Deniz Çakir",,5.7
605,Kardes Payi,2014,2015,2,,Comedy,16.333333333333332,"Ahmet Kural,Murat Cemcir,Seda Bakan,Sinasi Yurtsever",,8.6
606,Anali Ogullu,2014,2018,5,,Comedy,16.0,"Sermiyan Midyat,Melisa Sözen,Seher Devrim Yakut,Durul Bazan",,4.4
607,Niloya,2014,2018,5,,Animation,5.0,"Tarik Bayrak,Sinan Divrik,Emre Ihlamur,Merve Ihlamur",,6.8
608,Küçük Aga,2014,2015,2,,Comedy,16.666666666666668,"Birce Akalay,Sarp Levendoglu,Zeki Alasya,Emir Berke Zincidi",,3.7
609,Ruhumun Aynasi,2014,2018,5,,Comedy,17.0,"Tuba Ünsal,Filiz Ahmet,Özgürcan Cevik,Baris Yalçin",,5.8
610,Ne diyoosun,2014,2018,5,,Comedy,16.0,"Halis Bayraktaroglu,Osman Beyaz,Aysel Durmus,Boran Gökçe",,5.5
611,Hayat Yokusu,2014,2018,5,,Comedy,15.5,"Cem Davran,Eda Özdemir,Rojda Demirer,Esin Gündogdu",,2.6
612,Hatasiz Kul Olmaz,2014,2018,5,,Drama,18.0,"Burçin Abdullah,Çiçek Acar,Ipek Bagriacik,Yusa Bozkurt",,5.2
613,Kocamin Ailesi,2014,2018,5,,Comedy,16.333333333333332,"Gökhan Alkan,Aysenil Samlioglu,Erman Okay,Yesim Salkim",,4.3
614,Gullerin Savasi,2014,2018,5,,Drama,18.0,"Arif Piskin,Ayse Akin,Ipek Ozagan,Ceren Koç",,4.8
615,Kiraz Mevsimi,2014,2015,2,,Comedy,16.0,"Özge Gürel,Serkan Çayoglu,Nilperi Sahinkaya,Daghan Külegeç",,5.4
616,Güzel Köylü,2014,2018,5,,Comedy,15.5,"Gizem Karaca,Berk Cankat,Mehmet Ali Nuroglu,Esin Civangil",,5.9
617,Kaçak Gelinler,2014,2015,2,,Comedy,16.0,"Deniz Baysal,Selin Sekerci,Açelya Topaloglu,Firat Altunmese",,5.2
618,Paramparça,2014,2017,4,,Drama,18.0,"Erkan Petekkaya,Ebru Özkan,Nursel Köse,Alina Boz",,6.0
619,Reaksiyon,2014,2014,1,,Action,15.5,"Selen Soyder,Erdal Besikçioglu,Yurdaer Okur,Ismail Demirci",,6.9
620,Kaderimin Yazildigi Gün,2014,2018,5,,Drama,18.0,"Metin Çekmez,Almila Ada,Anil Altan,Nihan Balyali",,4.9
621,Gönül Isleri,2014,2018,5,,Drama,18.0,"Bennu Yildirimlar,Selma Ergeç,Sinem Kobal,Gümeç Alpay Aslan",,5.9
622,Emanet,2014,2018,5,,Drama,18.0,"Cankat Aydos,Nihan Balyali,Burak Demir,Filiz Kaya",,5.3
623,Günahkar,2014,2014,1,,Drama,18.0,"Seçkin Özdemir,Gülcan Arslan,Hazal Filiz Küçükköse,Korel Cezayirli",,7.5
624,Bana Artik Hicran De,2014,2018,5,,Drama,18.0,"Asli Enver,Alican Yücesoy,Sebnem Hassanisoughi,Nadir Saribacak",,5.7
625,Diger Yarim,2014,2018,5,,Comedy,15.5,"Cem Korkmaz,Cihat Suvarioglu,Duygu Yurukce,Ipek Tuzcuoglu",,5.6
626,Yedi güzel adam,2014,2018,5,,Biography,10.666666666666666,"Uraz Kaygilaroglu,Baran Akbulut,Yildiz Çagri Atiksoy,Mert Can Sevimli",,7.4
627,Yesil Deniz,2014,2018,5,,Comedy,17.0,"Mert Turak,Ali Barkin,Elvan Disli,Ceyhun Tutal",,7.5
628,RGG Ayas,2014,2018,5,,Animation,5.0,"Ege Sezer,Ömer Faruk Biçer,Arda Beyaztas,Mehmet Duran",,4.7
629,Kel Alaka,2014,2018,5,,Comedy,15.0,Atalay Demirci,,5.5
630,Seref Meselesi,2014,2015,2,,Drama,17.0,"Kerem Bürsin,Sükrü Özyildiz,Sükran Ovali,Burcu Biricik",,6.9
631,Dirilis: Ertugrul,2014,2018,5,,Action,17.0,"Engin Altan Düzyatan,Hülya Darcan,Cengiz Coskun,Nurettin Sönmez",,7.2
632,Filinta,2014,2016,3,,History,8.0,"Cem Uçan,Onur Tuna,Kamil Güler,Hakan Yufkacigil",,6.6
633,Asktan Kaçilmaz,2014,2018,5,,Drama,18.0,"Pelin Akil,Erhan Alpay,Özgür Avsar,Metin Belgin",,6.3
634,Dada Dandinista,2014,2018,5,,Talk-Show,14.0,"Okan Bayülgen,Engin Hepileri,Elena Viunova,Burak Satibol",,6.0
635,Elif,2014,2018,5,,Drama,17.0,"Emre Kivilcim,Ekrem Erdinç,Gülçin Tunçok,Ozanay Alpkan",,3.0
636,Vahyin Izinde,2014,2018,5,,Drama,18.0,"Alpay Aksum,Zafer Altun,Emre Avsar,Yasar Aydinlioglu",,8.6
637,Ulan Istanbul,2014,2015,2,,Comedy,15.5,"Erkan Kolçak Köstendil,Sebnem Bozoklu,Kaan Yildirim,Salih Bademci",,7.3
638,Ah Neriman,2014,2018,5,,Comedy,16.0,"Sezin Akbasogullari,Ruzgar Aksoy,Gül Arici,Zeynep Tugçe Bayat",,7.8
639,Hayat Agaci,2014,2018,5,,Drama,18.0,"Fikret Kuskan,Idil Firat,Onur Saylak,Özge Özberk",,5.7
640,Benim Adim Gultepe,2014,2015,2,,Drama,18.0,"Selen Öztürk,Miray Akay,Numan Çakir,Ilayda Alisan",,7.7
641,Not Defteri,2014,2018,5,,Drama,18.0,"Ali Karagöz,Beste Kökdemir,Gözde Mutluer,Merve Oflaz",,6.8
642,Kertenkele,2014,2016,3,,Comedy,15.5,"Buse Arslan,Basak Demiral,Cansu Gultekin,Hüseyin Güler",,3.2
643,Zeytin Tepesi,2014,2018,5,,Drama,18.0,"Ümit Acar,Sezgi Sena Akay,Nesem Akhan,Özlem Akinözü",,3.4
644,Sungurlar,2014,2015,2,,Action,16.0,"Mert Kiliç,Mehmet Küçük,Dilara Büyükbayraktar,Merve Anlagan",,5.5
645,Hayat Yolunda,2014,2015,2,,Drama,18.0,"Mehmet Baran Erdogan,Nur Fettahoglu,Ediz Hun,Leyla Kader Ilhan",,6.8
646,Maysa ve Bulut,2014,2016,3,,Animation,5.0,,,7.0
647,Yilanlarin Öcü,2014,2015,2,,Drama,18.0,"Mehmet Atay,Ceyda Ates,Burak Can,Gözde Cigaci",,4.8
648,Can't Run from Love,2014,2014,1,,Drama,18.0,,,7.7
649,Askin Kanunu,2014,2015,2,,Comedy,16.0,"Aysenur Yazicioglu,Gözde Mutluer,Yagiz Kilinc,Kerem Atabeyoglu",,5.8
650,Beyaz Karanfil,2014,2014,1,,Action,16.333333333333332,"Hakan Boyav,Kenan Çoban,Ali Sürmeli,Caglar Ertugrul",,7.3
651,Boynu Bükükler,2014,2014,1,,Comedy,16.0,"Ahmet Saraçoglu,Anil Altan,Gün Koper,Caglar Ertugrul",,6.9
652,1 Erkek 1 Kadin 2 Cocuk,2014,2015,2,,Comedy,16.0,"Demet Evgar,Emre Karayel",,7.9
653,Ütopya Türkiye,2014,2015,2,,Reality-TV,12.0,"Demet Akalin,Serdar Gökay Akduman,Tugçe Aksoylu,Meral Avci",,5.7
654,Para Bende,2014,2017,4,,Game-Show,12.0,"Almeda Abazi,Murat Ceylan,Yunus Günçe,Zafer Mete",,5.5
655,Bes Kardes,2015,2015,1,,Comedy,16.333333333333332,"Serkan Keskin,Osman Sonant,Tansu Biçer,Nadir Saribacak",,8.4
656,Bedel,2015,2018,4,,Drama,18.0,"Sedef Avci,Necip Memili,Berk Erçer,Gonca Sariyildiz",,3.8
657,Poyraz Karayel,2015,2017,3,,Action,17.0,"Ilker Kaleli,Burçin Terzioglu,Musa Uzunlar,Ali Il",,8.4
658,Racon,2015,2018,4,,Drama,18.0,"Mehmet Aslantug,Hande Dogandemir,Seçkin Özdemir,Sezin Akbasogullari",,6.5
659,Persian Tech Pack,2015,2018,4,,Reality-TV,12.0,Farid Khalifi,,7.3
660,Ayrilsak da Beraberiz,2015,2018,4,,Comedy,16.0,"Hatice Aslan,Adem Yilmaz,Mete Horozoglu,Algi Eke",,2.6
661,Yabanci: Hayati Kesfet,2015,2018,4,,Documentary,10.0,,,7.6
662,Maral: En güzel Hikayem,2015,2015,1,,Drama,18.0,"Aras Bulut Iynemli,Hazal Kaya,Reha Özcan,Ceyda Düvenci",,5.5
663,Nöropsikoloji,2015,2018,4,,Documentary,14.0,"Samuray Polat Uncumusaoglu,Mazlum Kiper",,7.1
664,Safiye'den Sofia'ya Calinan Kimlikler,2015,2018,4,,Drama,18.0,,,6.4
665,Milat,2015,2015,1,,Action,16.0,"Ismail Hakki,Ufuk Bayraktar,Burcu Kara,Mustafa Ugurlu",,6.5
666,Kara Kutu,2015,2018,4,,Crime,16.5,"Gökhan Azlag,Sadi Celil Cengiz,Fulya Ergünes,Leyla Giraud",,4.4
667,Ask Zamani,2015,2015,1,,Comedy,16.0,"Yavuz Bingöl,Deniz Ugur,Ali Ersan Duru,Bekir Aksoy",,3.8
668,Muhtesem Yüzyil: Kösem,2015,2017,3,,Drama,14.0,"Hakan Sahin,Aslihan Gürbüz,Nadir Saribacak,Mete Horozoglu",,6.2
669,Kiralik Ask,2015,2017,3,,Comedy,16.0,"Elçin Sangu,Baris Arduç,Salih Bademci,Nergis Kumbasar",,6.8
670,Yunus Emre,2015,2018,4,,Biography,7.0,"Gökhan Atalay,Payidar Tüfekçioglu,Baran Akbulut,Mehmet Çepiç",,7.2
671,Yaz'in Öyküsü,2015,2018,4,,Drama,18.0,"Tulin Yazkan,Elit Cam,Kubra Suzgun,Vildan Atasever",,4.7
672,Adi Mutluluk,2015,2018,4,,Comedy,16.666666666666668,"Dilara Aksüyek,Serkan Tinmaz,Kaan Yildirim,Ezgi Eyüboglu",,4.8
673,Acil Ask Araniyor,2015,2015,1,,Comedy,16.0,"Serenay Aktas,Mehmet Celik,Coraline Chapatte,Deniz Erayvaz",,5.0
674,Iliski Durumu: Karisik,2015,2016,2,,Comedy,16.0,"Berk Oktay,Seren Sirince,Gülden Avsaroglu,Nurseli Idiz",,5.4
675,Bi Dünya Sov,2015,2018,4,,Comedy,16.0,"Hakan Hepcan,Marie Hartlieb,Salih Zafer Kunt,Mustafa Devrim Özdinç",,5.1
676,Inadina Ask,2015,2016,2,,Comedy,16.0,"Açelya Topaloglu,Can Yaman,Nilay Duru,Eren Vurdem",,5.7
677,Çilek Kokusu,2015,2015,1,,Romance,16.0,"Leyla Uner Ermaya,Kubilay Penbeklioglu,Mahir Günsiray,Murat Basoglu",,5.2
678,Tatli Küçük Yalancilar,2015,2015,1,,Drama,16.0,"Dilan Çiçek Deniz,Büsra Develi,Beste Kökdemir,Melisa Senolsun",,5.6
679,Sen Benimsin,2015,2018,4,,Drama,18.0,"Gökhan Keser,Ruveyda Öksuz,Güven Hokna,Burak Sergen",,3.9
680,Günesin Kizlari,2015,2016,2,,Comedy,16.666666666666668,"Emre Kinay,Evrim Alasya,Tolga Saritas,Burcu Özberk",,5.7
681,Kara Sevda,2015,2017,3,,Drama,17.0,"Burak Özçivit,Neslihan Atagül,Kaan Urgancioglu,Orhan Güner",,6.0
682,Hatirla Gönül,2015,2018,4,,Drama,18.0,"Gökçe Bahadir,Berrin Seker Civil,Suleyman Felek,Lila Gürmen",,6.6
683,Evli ve Öfkeli,2015,2018,4,,Comedy,16.666666666666668,"Birce Akalay,Sarp Akkaya,Ebru Cündübeyoglu,Ayça Erturan",,7.1
684,Eskiya Dünyaya Hükümdar Olmaz,2015,2018,4,,Action,16.333333333333332,"Oktay Kaynarca,Ozan Akbaba,Sabina Ajrula,Yunus Emre Yildirimer",,7.1
685,Analar ve Anneler,2015,2015,1,,Drama,18.0,"Sinem Kobal,Hazar Ergüçlü,Okan Yalabik,Metin Akdülger",,5.8
686,Kirgin Çiçekler,2015,2018,4,,Drama,18.0,"Arif Diren,Gökçe Akyildiz,Mehmet Aykaç,Veda Yurtsever Ipek",,6.2
687,Ibi,2015,2018,4,,Animation,16.5,"Hakan Bozbey,Elif Küçük,Alp Pazarli,Akif Yardimci",,6.5
688,Aydamaya,2015,2018,4,,Adventure,15.333333333333334,"Burak Kimyager,Meryem Sengül,Kayra Aleyna Zabçi,Tolga Öz",,4.9
689,Baba Candir,2015,2017,3,,Comedy,16.333333333333332,"Mehdi Adlin,Erol Aksoy,Mehmet Celik,Cansu Diktas",,7.6
690,Hayat Mucizelere Gebe,2015,2016,2,,Comedy,16.666666666666668,"Hande Ataizi,Damla Colbay,Isil Yücesoy,Yigit Dikmen",,5.2
691,Mayis Kraliçesi,2015,2018,4,,Drama,18.0,"Kubra Suzgun,Yagmur Tanrisevsin,Samet Sirmali,Ahmet Olgun Sunaer",,5.6
692,Aci Ask,2015,2016,2,,Drama,18.0,"Alperen Duymaz,Seçkin Özdemir,Sezgi Sena Akay,Selin Sekerci",,5.5
693,Asla Vazgeçmem,2015,2018,4,,Drama,18.0,"Hakan Dinçkol,Gözde Mutluer,Amine Gulse,Safak Pekdemir",,5.8
694,Ask Yeniden,2015,2016,2,,Comedy,16.0,"Özge Özpirinçci,Bugra Gülsoy,Tamer Levent,Tülin Oral",,7.2
695,Pelin Çift ile Gündem Ötesi,2015,2018,4,,Talk-Show,14.0,Pelin Cift,,7.9
696,Çizgi Roman Yolculugu,2015,2018,4,,Documentary,10.0,"Emrah Ablak,Levent Cantek,Bülent Üstün,Yekta Kopan",,7.0
697,Yeter,2015,2018,4,,Drama,18.0,"Wilma Elles,Pelin Karahan,Yurdaer Okur,Hande Özen",,6.8
698,Eve Dönüs,2015,2016,2,,Crime,16.333333333333332,"Burak Demir,Baris Akkoyun,Dilsad Çelebi,Cansel Elcin",,6.5
699,Kara Ekmek,2015,2016,2,,Crime,16.5,"Özlem Yilmaz,Engin Hepileri,Ushan Çakir,Gülçin Santircioglu",,7.5
700,Cengiz Özdemir & Ozan Sagsöz ile kültür & tarih sohbetleri,2015,2018,4,,History,11.0,"Cengiz Özdemir,Ozan Sagsöz",,8.0
701,Kalbim Ege'de Kaldi,2015,2015,1,,Comedy,16.0,"Eren Hacisalihoglu,Alper Saldiran,Celile Toyon Uysal,Oya Unustasi",,6.5
702,Beyaz Yalan,2015,2015,1,,Drama,17.0,"Kutsi,Deniz Baysal,Ebru Aykaç,Ege Aydan",,7.4
703,Buyur Burdan Bak,2015,2016,2,,Comedy,16.0,"Dogan Akdogan,Giray Altinok,Özgün Bayraktar,Alper Baytekin",,8.0
704,Survivor All Star,2015,2015,1,,Reality-TV,12.0,"Merve Aydin,Acun Ilicali,Turabi Çamkiran,Almeda Abazi",,5.3
705,Ne Münasebet,2015,2015,1,,Comedy,16.0,"Sarp Levendoglu,Pelin Akil,Ulas Torun,Bengi Idil Uras",,7.6
706,Hayat Sarkisi,2016,2018,3,,Drama,16.333333333333332,"Tayanç Ayaydin,Ecem Özkaya,Seray Gözler,Ahmet Mümtaz Taylan",,7.1
707,Gecenin Kraliçesi,2016,2016,1,,Action,16.666666666666668,"Seda Akman,Selim Bayraktar,Nihan Büyükagaç,Deniz Celiloglu",,6.1
708,Göç Zamani,2016,2018,3,,Drama,18.0,"Elif Ceren Balikçi,Ülkü Hilal Çiftçi,Bige Önal,Zeynep Elçin",,3.8
709,Kördügüm,2016,2018,3,,Drama,18.0,"Aybars Kartal Özson,Ibrahim Celikkol,Alican Yücesoy,Rojda Demirer",,6.5
710,Ölümün gözleri,2016,2018,3,,Horror,10.0,"Emre Akça,Istephan Hakverdi,Kaan Tüfekçiyasar,Gülce Baydar",,6.2
711,Görevimiz komedi,2016,2018,3,,Comedy,16.0,"Rasim Öztekin,Asuman Dabak,Burak Satibol,Zeynep Kankonde",,4.3
712,Tatli intikam,2016,2016,1,,Comedy,16.0,"Zeynep Anacan,Furkan Andic,Kerem Atabeyoglu,Elif Cakman",,6.1
713,46 Yok Olan,2016,2016,1,,Action,16.333333333333332,"Erdal Besikçioglu,Yasemin Kay Allen,Melis Birkan,Saygin Soysal",,8.5
714,Hayatimin Aski,2016,2016,1,,Comedy,16.0,"Ilker Aksum,Zafer Algöz,Hilal Altinbilek,Murat Cemcir",,4.8
715,Ask Laftan Anlamaz,2016,2017,2,,Comedy,16.0,"Hande Erçel,Burak Deniz,Özcan Tekdemir,Merve Çagiran",,7.3
716,Kehribar,2016,2016,1,,Action,17.0,"Ayça Varlier,Necip Memili,Özge Özder,Aslihan Güner",,6.6
717,Müdür Ne'aptin?,2016,2016,1,,Comedy,16.0,"Tolga Çevik,Özer Atik,Firat Parlak,Nil Karaibrahimgil",,7.0
718,Hayat Sevince Güzel,2016,2018,3,,Comedy,16.0,"Öykü Celik,Ugur Çavusoglu,Ekin Mert Daymaz,Damla Aslanalp",,6.7
719,Yüksek Sosyete,2016,2016,1,,Romance,16.0,"Engin Öztürk,Hazar Ergüçlü,Ozan Dolunay,Meric Aral",,5.4
720,No: 309,2016,2017,2,,Comedy,16.0,"Demet Özdemir,Furkan Palali,Sumru Yavrucuk,Gökçe Özyol",,3.5
721,Rüzgarin Kalbi,2016,2018,3,,Drama,17.0,"Burak Serdar Sanal,Deniz Baysal,Cezmi Baskin,Ahmet Saraçoglu",,5.8
722,Bana Sevmeyi Anlat,2016,2017,2,,Drama,17.0,"Kadir Dogulu,Seda Bakan,Mustafa Üstündag,Dolunay Soysert",,6.3
723,Bodrum Masali,2016,2017,2,,Drama,18.0,"Timuçin Esen,Sevval Sam,Dilan Çiçek Deniz,Alperen Duymaz",,6.1
724,Arkadaslar Iyidir,2016,2018,3,,Drama,18.0,"Cankat Aydos,Didem Inselel,Hayal Köseoglu,Ülkü Hilal Çiftçi",,5.8
725,Içerde,2016,2017,2,,Action,16.333333333333332,"Çagatay Ulusoy,Aras Bulut Iynemli,Çetin Tekindor,Nihal G. Koldas",,7.4
726,N'olur Ayrilalim,2016,2018,3,,Romance,16.0,"Aras Aydin,Nilay Duru,Osman Karakoç,Nilperi Sahinkaya",,4.6
727,Adini sen koy,2016,2018,3,,Drama,17.0,"Hazal Subasi,Erkan Meriç,Yaprak Durmaz,Aykut Igdeli",,4.7
728,Familya,2016,2016,1,,Comedy,16.333333333333332,"Enis Arikan,Sezer Avci,Ipek Ayaz,Murat Ceylan",,6.2
729,Vatanim Sensin,2016,2018,3,,Drama,14.0,"Halit Ergenç,Bergüzar Korel,Boran Kuzum,Pinar Deniz",,7.9
730,Anne,2016,2017,2,,Drama,18.0,"Beren Gokyildiz,Cansu Dere,Vahide Perçin,Gonca Vuslateri",,6.8
731,Hayat Bazen Tatlidir,2016,2018,3,,Comedy,16.0,"Birce Akalay,Kanbolat Gorkem Arslan,Ufuk Özkan,Deniz Can Aktas",,5.6
732,Seytan ile imtihan,2016,2018,3,,Documentary,11.666666666666666,"Rabia Arslan,Kader Çabuk,Hatice Kirik",,4.7
733,Yüzyillik Mühür,2016,2018,3,,Biography,10.666666666666666,"Ali Akdal,Emir Benderlioglu,Nesrin Cavadzade,Serkan Kuru",,6.4
734,Cesur Ve Güzel,2016,2017,2,,Romance,16.0,"Kivanç Tatlitug,Tuba Büyüküstün,Serkan Altunorak,Erkan Avci",,6.4
735,Sanayi Savaslari,2016,2018,3,,Reality-TV,12.0,,,6.6
736,Babam ve Ailesi,2016,2018,3,,Drama,18.0,"Sercan Badur,Sezin Bozaci,Eva Dedova,Doga Zeynep Doguslu",,5.9
737,Hangimiz sevmedik?,2016,2017,2,,Drama,18.0,"Tuba Erdem,Yeliz Kuvanci,Selen Soyder,Can Yaman",,6.5
738,Seviyor Sevmiyor,2016,2018,3,,Comedy,16.666666666666668,"Zeynep Çamci,Gökhan Alkan,Dilara Akin Yazici,Su Kutlu",,6.2
739,Ask Ve Mavi,2016,2018,3,,Drama,18.0,"Emine Erdem,Emrah,Burcu Kiratli,Isil Yücesoy",,4.6
740,Kalbimdeki Deniz,2016,2018,3,,Drama,18.0,"Deniz Gökçer,Beyza Kesebir,Özge Özberk,Kutsi",,4.3
741,Sevda Kusun Kanadinda,2016,2017,2,,Drama,18.0,"Melahat Abbasova,Kadir Agirçelik,Latif Akgedik,Faruk Akgören",,6.0
742,Cesur yürek,2016,2018,3,,Action,16.666666666666668,"Kenan Acar,Riza Akin,Cem Aksakal,Hamdi Alp",,7.0
743,Sifir Bir,2016,2018,3,,Action,16.333333333333332,"Savas Satis,Cihangir Ceyhan,Özgür Meric,Burak Sahin",,8.2
744,Umuda Kelepce Vurulmaz,2016,2017,2,,Drama,18.0,"Begüm Birgören,Özge Özder,Mehdi Adlin,Cemal Elçin Akar",,7.7
745,Kacin Kurasi,2016,2016,1,,Comedy,16.0,"Burcu Altin,Ahmet Selçuk Bay,Sebnem Dogruer,Köksal Engür",,7.1
746,Kis Günesi,2016,2016,1,,Drama,18.0,"Sükrü Özyildiz,Asli Enver,Basak Parlak,Nesrin Cavadzade",,7.3
747,Kertenkele Yeniden Dogus,2016,2016,1,,Action,16.0,Yazmeen Baker,,5.8
748,Oyunbozan,2016,2016,1,,Drama,17.0,"Ilayda Akdogan,Kenan Bal,Ahmet Dizdaroglu,Ozan Dolunay",,7.4
749,Istanbul Sokaklari,2016,2016,1,,Action,17.0,"M. Sitare Akbas,Derya Alabora,Berkay Ates,Caner Cindoruk",,5.9
750,Gülümse Yeter,2016,2017,2,,Comedy,16.0,"Serenay Aktas,Asli Altaylar,Baris Aytac,Asli Bekiroglu",,6.9
751,Ask Yalani Sever,2016,2016,1,,Comedy,17.0,"Yesim Gül Aksar,Oktay Alkan,Buse Arslan,Ibrahim Aslan",,6.8
752,Göz6,2016,2017,2,,Reality-TV,12.0,"Gizem Akdag,Yasemin Aydan,Nesil Dinçelmas,Zeyd Gümüstutan",,6.3
753,Güldüy Güldüy Show Çocuk,2016,2018,3,,Comedy,16.0,"Ezo Sunal,Alp Akar,Berat Efe Parlar,Esat Polat Güler",,2.3
754,Shopping Star,2016,2018,3,,Game-Show,12.0,"Vicky Kaya,Gogo Garifallou,Vangelis Harisopoulos",,5.0
755,Bu Sehir Arkandan Gelecek,2017,2017,1,,Drama,18.0,"Kerem Bürsin,Gürkan Uygun,Leyla Lydia Tugutlu,Osman Alkas",,6.0
756,Son destan,2017,2018,2,,Drama,13.0,"Bülent Inal,Sedef Avci,Selçuk Yöntem,Fatih Artman",,6.4
757,Ölene Kadar,2017,2017,1,,Drama,18.0,"Engin Akyürek,Fahriye Evcen Özçivit,Gülcan Arslan,Sarp Levendoglu",,7.2
758,Yildizlar Sahidim,2017,2018,2,,Musical,16.0,"Berk Cankat,Özge Gürel,Canan Erguder,Mesut Akusta",,6.1
759,The Cheat,2017,2018,2,,Action,15.333333333333334,"Taha Ulukaya,Andac Ulukaya,Taner Sahin,Neslihan Ulusoy",,9.3
760,Istanbullu Gelin,2017,2018,2,,Comedy,16.666666666666668,"Özcan Deniz,Asli Enver,Ipek Bilgin,Salih Bademci",,7.1
761,Payitaht Abdülhamid,2017,2018,2,,Action,14.0,"Bülent Inal,Hakan Boyav,Özlem Conker,Selen Öztürk",,5.0
762,Adi Efsane,2017,2017,1,,Drama,15.0,"Erdal Besikçioglu,Gökçe Bahadir,Rojda Demirer,Reha Özcan",,6.3
763,Sahipli,2017,2018,2,,Horror,13.0,"Sebahat Adalar,Baran Akbulut,Elif Baysal,Nevin Efe",,8.1
764,Lise devriyesi,2017,2018,2,,Comedy,15.5,"Dogan Akdogan,Ebru Akel,Gökhan Atalay,Gamze Süner Atay",,7.3
765,Evlat Kokusu,2017,2018,2,,Drama,18.0,"Hande Soral,Alihan Türkdemir,Dilan Telkok,Baris Kiliç",,6.1
766,Fi,2017,2018,2,,Drama,17.0,"Ozan Güven,Serenay Sarikaya,Mehmet Günsür,Berrak Tüzünataç",,8.1
767,Fazilet Hanim ve Kizlari,2017,2018,2,,Drama,18.0,"Nazan Kesal,Deniz Baysal,Caglar Ertugrul,Mahir Günsiray",,7.1
768,Kara Yazi,2017,2018,2,,Drama,18.0,"Sedef Akalin,Fatih Altinagac,Haluk Bilginer,Su Burcu Coskun",,6.7
769,Savasci (Warrior),2017,2018,2,,Action,16.666666666666668,"Berk Oktay,Murat Serezli,Burç Kümbetlioglu,Dogan Bayraktar",,6.2
770,Söz,2017,2018,2,,Action,16.666666666666668,"Tolga Saritas,Meric Aral,Nihat Altinkaya,Burak Sevinç",,7.0
771,Sevkat Yerimdar,2017,2018,2,,Comedy,16.0,"Özgürcan Cevik,Basak Parlak,Salih Kalyon,Burak Demir",,5.8
772,Turk Mali,2017,2018,2,,Comedy,15.0,"Safak Sezer,Hasibe Eren,Anil Ilter,Burcu Binici",,2.8
773,Iki Yalanci,2017,2018,2,,Comedy,16.0,"Keremcem,Yagmur Tanrisevsin,Koray Erkök,Hazal Senel",,5.5
774,AVM Sakini,2017,2018,2,,Comedy,16.0,"Cigdem Atasoyu,Ceyda Sener Baykal,Aylin Dinc,Fikret Durak",,5.9
775,Deli gönül,2017,2018,2,,Drama,18.0,"Ibrahim Eren Kilisli,Mutlu Ulusoy,Dilhan Naz Özgülüs,Tuvana Türkay",,5.7
776,Dayan Yuregim,2017,2017,1,,Drama,18.0,"Ece Uslu,Cansel Elcin,Nilay Deniz,Berk Atan",,5.8
777,Dolunay,2017,2017,1,,Comedy,16.0,"Özge Gürel,Can Yaman,Hakan Kurtas,Necip Memili",,7.4
778,Kalp Atisi,2017,2018,2,,Drama,17.0,"Gökhan Alkan,Öykü Karayel,Burcu Türünz,Basar Dogusoy",,6.7
779,Çember,2017,2017,1,,Action,16.333333333333332,"Baris Bagci,Pelin Akil,Anil Altan,Serhat Mustafa Kiliç",,7.3
780,Rüya,2017,2018,2,,Family,15.5,"Hazal Filiz Küçükköse,Ceyhun Mergiroglu,Ulas Tuna Astepe,Özge Özder",,6.0
781,Badem sekeri,2017,2018,2,,Comedy,16.0,"Hayati Akbas,Burcu Altin,Mehmet Atay,Alper Saldiran",,5.8
782,Atesböcegi,2017,2017,1,,Comedy,16.0,"Seçkin Özdemir,Nilay Deniz,Seda Güven,Durul Bazan",,7.2
783,Meryem,2017,2018,2,,Drama,18.0,"Cemre Polat,Gürol Salman,Furkan Andic,Ayça Aysin Turan",,6.6
784,Kanatsiz Kuslar,2017,2018,2,,Drama,18.0,"Melis Tüzüngüç,Umit Kantarcilar,Ahmet Varli,Deniz Bolisik",,5.5
