,isim,baslangicT,bitisTarih,sezonSayisi,sezonDurumu,tur,konuPuan,aktorS,OyuncuKadroPuan,imdb
282,Hayal ve gerçek,2007,2009,3,,Comedy,16.0,"Ayca Zeynep Aydin,Ayça Aysin Turan,Tamay Kiliç,Yasemin Hadivent",,2.6
283,Korkusuzlar,2007,2009,3,,Action,16.0,"Ismail Yk,Volkan Adiyaman,Istemi Betil,Fatos Güçlü",,5.9
284,Zeliha'nin Gözleri,2007,2009,3,,Adventure,17.0,"Sarp Levendoglu,Emel Çölgeçen,Bülent Sakrak,Cüneyt Özen",,5.8
285,Pusat,2007,2007,1,,Action,16.666666666666668,"Yasemin Balik,Sahin Çelik,Emin Boztepe,Alper Develioglu",,5.8
286,CÖT (Cok Özel Tim),2007,2009,3,,Action,16.0,"Sezai Altekin,Gül Arcan,Tansu Biçer,Bahar Senbahar",,2.5
287,Biçak sirti,2007,2009,3,,Drama,18.0,"Fikret Kuskan,Nejat Isler,Mehmet Günsür,Melisa Sözen",,7.6
288,Kuzey rüzgari,2007,2009,3,,Action,17.0,"Kadir Inanir,Bilal Yilmaz,Oktay Kaynarca,Ebru Kocaaga",,5.0
289,Menekse ile Halil,2007,2008,2,,Drama,16.666666666666668,"Kivanç Tatlitug,Sedef Avci,Murat Daltaban,Hasan Küçükçetin",,6.1
290,Magic necmi,2007,2009,3,,Reality-TV,12.0,Necmi Yildirim,,6.2
291,Asi,2007,2009,3,,Drama,17.0,"Tuba Büyüküstün,Murat Yildirim,Çetin Tekindor,Nur Sürer",,6.5
292,Esref Saati,2007,2009,3,,Comedy,16.0,"Yavuz Bingöl,Yetkin Dikinciler,Özge Borak,Yagmur Kasifoglu",,5.8
293,Ask yeniden,2007,2009,3,,Family,15.0,"Türkan Soray,Cihan Ünal,Baris Aksavas,Merve Bolugur",,5.7
294,Senden baska,2007,2009,3,,Comedy,16.666666666666668,"Ipek Yaylacioglu,Nihan Büyükagaç,Hare Sürel,Tolga Futaci",,6.0
295,Annem,2007,2009,3,,Drama,18.0,"Talat Bulut,Vahide Perçin,Duygu Yetis,Seda Akman",,3.8
296,Var misin? Yok musun?,2007,2009,3,,Game-Show,12.0,"Acun Ilicali,Asuman Krause,Ahmet Çakar,Ilker Ayrik",,2.8
297,Tatli bela Fadime,2007,2009,3,,Comedy,16.0,"Berk Oktay,Nehir Erdogan,Füsun Demirel,Bülent Alkis",,3.8
298,El gibi,2007,2009,3,,Drama,18.0,"Naz Elmas,Emre Altug,Deniz Gökçer,Irmak Ünal",,4.7
299,Fesupanallah,2007,2009,3,,Comedy,16.0,"Cem Davran,Emrecan Eker,Aysen Gruda,Hasan Kaçan",,4.1
300,Hayat apartmani,2007,2009,3,,Comedy,16.0,"Koksal Calik,Gamze Demirbilek,Erdinç Dinçer,Yalçin Güzelce",,1.2
301,Kelebek çikmazi,2007,2009,3,,Drama,18.0,"Hümeyra,Ceren Benderlioglu,Pamela Spence,Melike Öcalan",,5.2
302,Yemin,2007,2009,3,,Romance,16.0,"Canan Türker,Ayse Melike Çerçi,Yasemin Öztürk,Tuba Ünsal",,4.2
303,Sinekli bakkal,2007,2009,3,,Drama,18.0,"Özge Özberk,Ugur Polat,Ismail Hacioglu,Asli Altaylar",,5.1
304,Sessiz firtina,2007,2009,3,,Adventure,16.666666666666668,"Bilal Yilmaz,Erkan Petekkaya,Arzum Onan,Berkay Ates",,3.5
305,Dudaktan kalbe,2007,2009,3,,Drama,18.0,"Asli Tandogan,Yigit Özsener,Umut Tabak,Burak Hakki",,5.4
306,Elveda Rumeli,2007,2009,3,,Drama,13.0,"Filiz Ahmet,Salih Bademci,Recep Özgür Dereli,Suzana Akbelge",,7.7
307,Parmakliklar Ardinda,2007,2009,3,,Crime,16.5,"Yelda Reynaud,Özlem Düvencioglu,Pamir Pekin,Zeynep Kiziltan",,6.3
308,Hepsi bir,2007,2009,3,,Comedy,12.333333333333334,"Cemre Kemer,Eren Bakici,Gulcin Ergul,Yasemin Yuruk",,3.2
309,Oyun bitti,2007,2009,3,,Comedy,16.0,"Azra Akin,Mert Öcal,Baran Ayhan,Zeki Alasya",,3.9
310,Vazgeç gönlüm,2007,2009,3,,Drama,17.0,"Murat Han,Pelin Ermis,Irem Altug,Oguzhan Yildiz",,5.5
311,Havalimani,2007,2009,3,,Action,16.666666666666668,"Atilgan Gümüs,Mehmet Özbek,Sema Mumcu,Pamir Pekin",,3.8
312,Daglar delisi,2007,2009,3,,Drama,18.0,"Fatih Koyunoglu,Oya Okar,Ozman Sirgood,Merve Sevi",,3.5
313,Iki yabanci,2007,2009,3,,Drama,17.0,"Keremcem,Hatice Sendil,Kerem Can,Nilay Olcay",,3.2
314,Sessiz gemiler,2007,2009,3,,Drama,18.0,"Sezen Aray,Sezai Aydin,Hakan Eratik,Ömer Güney",,3.9
315,Sevgili dünürüm,2007,2009,3,,Comedy,16.0,"Didem Balçin,Haluk Bilginer,Cengiz Bozkurt,Rojda Demirer",,6.2
316,Yalan dünya,2007,2009,3,,Comedy,16.0,"Gökhan Özen,Ceyda Ates,Ipek Tenolcay,Korkmaz Polat",,4.7
317,Karayilan,2007,2009,3,,Action,16.666666666666668,"Serkan Genç,Arif Erkin Güzelbeyoglu,Binnur Kaya,Selen Öztürk",,7.5
318,Fedai,2007,2009,3,,Drama,18.0,"Seda Sayan,Tamer Karadagli,Metin Belgin,Ergül Coskun",,1.9
319,Tek Türkiye,2007,2009,3,,Drama,18.0,"Alpay Aksum,Erkan Bektas,Ozan Çobanoglu,Murat Çobangil",,4.7
320,Suç Dosyasi,2007,2009,3,,Crime,15.0,"Dean Baykan,Engin Özsayin,Rasim Öztekin,Suavi Eren",,6.5
321,Arka siradakiler,2007,2009,3,,Action,16.333333333333332,"Bülent Çetinaslan,Sinem Uslu,Sevda Dalgiç,Bülent Emin Yarar",,3.3
322,Dede Korkut - Egrek ve Segrek,2007,2009,3,,History,8.0,"Fuad Javadov,Demir Karahan,Lilie Lossen,Birol Tarkan Yildiz",,7.4
323,Dede Korkut: Bamsibeyrek nasil öldürüldü,2007,2009,3,,History,8.0,"Fuad Javadov,Demir Karahan,Lilie Lossen,Burak Sergen",,6.9
324,Çati kati,2007,2009,3,,Comedy,16.0,"Burcu Günestutar,Önder K. Açikbas,Baris Basar,Elif Durdu",,2.2
325,Benden Baba Olmaz,2007,2009,3,,Comedy,15.5,"Mine Tugay,Atilgan Gümüs,Okan Tangücü,Volkan Severcan",,6.7
326,Gönül salincagi,2007,2008,2,,Drama,18.0,"Ayse Sule Bilgiç,Kiraç,Umut Temiz,Erdal Tosun",,3.8
